route,controller,permission,entitlement,tenant_enforcement,resource_relationship_scope,lifecycle,SoD,service_evidence,known_gap
PATCH /api/v1/students/:id/guardians/:guardianId,StudentsController.updateStudentGuardian,guardians:update,module.students via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId resource predicates,Exact student/guardian link tenant lookup; optimistic updatedAt claim,Only current active relationship may be primary; app-linked phone requires recovery flow; access fields require guardians:verify,No separate approver for relationship authority mutation,StudentsService.updateStudentGuardian/assertGuardianAccessWriteAllowed; serializable transaction and audit; apps/api/src/students/students.controller.ts:183; students.service.ts:2049-2265,Offline clients cannot learn revocation while disconnected; server relationship checks remain authoritative
POST /api/v1/students/:id/guardians/:guardianId/access-actions,StudentsController.performGuardianRecoveryAction,AND: guardians:update; guardians:verify; users:reset_password,module.students via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId resource predicates,Exact tenant student/guardian link; linked user/session lookup,Action-specific status/effective-date constraints; evidence reference and recovery proof; sessions revoked for restrictive actions,Three permissions required; no distinct second approver visible,StudentsService.performGuardianRecoveryAction/assertGuardianRecoveryMethod; apps/api/src/students/students.controller.ts:235; students.service.ts:2620-2924,Sensitive access recovery merits negative/concurrency coverage; no Phase 0 implementation change
POST /api/v1/students/:id/guardians/:guardianId/account,StudentsController.provisionGuardianAccount,AND: guardians:update; guardians:verify; users:create,module.students via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId resource predicates,Exact active verified approved tenant guardian link; parent role tenant lookup,Existing linked app account denied; recovery proof and claim version checked,Multiple permissions required; no second actor approval visible,StudentsService.provisionGuardianAccount/assertGuardianRecoveryMethod; apps/api/src/students/students.controller.ts:257; students.service.ts:2985-3085,Provisioning is online admin mutation; mobile cached state remains separate
POST /api/v1/students/:id/guardians/:guardianId/sessions/:sessionId/revoke,StudentsController.revokeGuardianSession,AND: guardians:update; guardians:verify; users:reset_password,module.students via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId resource predicates,Exact tenant guardian link and linked account session,Only active selected session may be revoked; audit,Admin recovery permission conjunction; no second actor approval,StudentsService.revokeGuardianSession; apps/api/src/students/students.controller.ts:279; students.service.ts:3138-3195,Offline device may retain cached data until it reconnects
POST /api/v1/students/guardians/:guardianId/identity-verifications/:verificationId/review,StudentsController.reviewGuardianIdentityVerification,guardians:verify,module.students via EntitlementGuard,JwtAuthGuard trusted school tenant; Prisma CLS and actor.tenantId resource predicates,Guardian and verification must belong to actor tenant,Only PENDING can be reviewed; optimistic claim; previous verified proof revoked on newer approval,Single verifier capability; reviewer distinctness from creator not established,StudentsService.reviewGuardianIdentityVerification; apps/api/src/students/students.controller.ts:473; students.service.ts:4687-4795,Higher-risk guardian identity governance review remains for Phase 2/8
POST /api/v1/notices/drafts,NoticesController.createDraft,notices:create,module.notices via EntitlementGuard,JwtAuthGuard trusted school tenant; service actor.tenantId predicates,Audience class/section and attachment tenant checks; recipient IDs stored for later resolution,DRAFT with tenant idempotency key; no delivery until publish,Urgent/emergency require approval before publication,CommunicationsService.createNoticeDraft; apps/api/src/communications/notices.controller.ts:57; communications.service.ts:460-540,Recipient-ID validation at creation versus preview/publish requires full service-path review
POST /api/v1/notices/:noticeId/approval,NoticesController.requestApproval,notices:create,module.notices via EntitlementGuard,JwtAuthGuard trusted school tenant; service actor.tenantId predicates,Notice ID scoped to actor tenant; recipient preview,Urgent/emergency DRAFT to APPROVAL_PENDING; replay returns current request,ApprovalWorkflowService handles reviewer decision; request itself is not approval,NoticeApprovalService.requestApproval; apps/api/src/communications/notices.controller.ts:123; notice-approval.service.ts:51-138,Normal notices do not require approval under current policy
POST /api/v1/notices/:noticeId/publish,NoticesController.publish,notices:publish,module.notices via EntitlementGuard,JwtAuthGuard trusted school tenant; service actor.tenantId predicates,Exact tenant notice and current eligible-recipient preview,Normal DRAFT or approved/scheduled may publish; urgent/emergency require APPROVED; expired/no-recipient denied; conditional update claim,Approval required for urgent/emergency; normal notice may be published by same actor,CommunicationsService.publishPreparedNotice; apps/api/src/communications/notices.controller.ts:100; communications.service.ts:619-713,H05 is separate generic-file source-read gap; no claim that notice publish itself leaks files
POST /api/v1/notices/:noticeId/schedule,NoticesController.schedule,notices:schedule,module.notices via EntitlementGuard,JwtAuthGuard trusted school tenant; service actor.tenantId predicates,Exact tenant notice,Future schedule; DRAFT/APPROVED/SCHEDULED only; urgent/emergency require APPROVED,Urgent/emergency approval before scheduling,CommunicationsService.scheduleNotice; apps/api/src/communications/notices.controller.ts:109; communications.service.ts:716-755,Scheduled execution/retry is a separate worker path
GET /api/v1/notices/:noticeId,NoticeDetailController.getNoticeDetail,notices:read,module.notices via EntitlementGuard,JwtAuthGuard trusted school tenant; service actor.tenantId predicates,Non-admin recipient must have tenant delivery row; support override needs approved read scope,Non-admin read limited to PUBLISHED/EXPIRED; audit history needs notices:read_reports,Read-only; support override has redacted read projection,NoticeDetailService.getNoticeDetail; apps/api/src/communications/notice-detail.controller.ts:39; notice-detail.service.ts:79-226,H05: generic file route does not reuse this recipient/lifecycle check
POST /api/v1/platform/support/override/enter,PlatformController.enterSupportOverride,platform:support:override,No school module entitlement; PlatformGuard enforces PLATFORM domain and platform role,JwtAuthGuard live PLATFORM identity; PlatformGuard excludes school users and active school support override,Target must be active SCHOOL tenant; one active operator override,"Reason, approved scopes, 1-60 minute expiry; prior session deactivated",Read-only session; exact scoped route and method checked later by JwtAuthGuard,PlatformService.enterSupportOverride; audited transaction; apps/api/src/platform/platform.controller.ts:563; platform.service.ts:2546-2643,Each later school read needs matching override headers and approved route
POST /api/v1/platform/support/override/exit,PlatformController.exitSupportOverride,platform:support:override,No school module entitlement; PlatformGuard enforces PLATFORM domain and platform role,JwtAuthGuard live PLATFORM identity; PlatformGuard excludes school users and active school support override,Own active Platform operator override,Revokes current active override and audits,Support session termination; no school mutation,PlatformService.exitSupportOverride; apps/api/src/platform/platform.controller.ts:578; platform.service.ts:2645-2675,"Issued signed URLs, if any, have separate expiry semantics"
POST /api/v1/teacher-assignments,TeacherAssignmentsController.assignTeacher,academics:update,module.exams,Jwt trusted school tenant; Prisma tenant context,Tenant staff/class/section/subject/year references; ensureStaff checks tenant only,Creates active subject and canonical teacher assignment for academic-year dates,Administrative assignment action; no professional-eligibility approval policy,"AcademicsService.assignTeacher / ensureStaff; apps/api/src/academics/subjects.controller.ts:91; academics.service.ts:226-291,1702-1710",H09: assignment creation does not preflight active employment or required verified licence/eligibility
PATCH /api/v1/timetable/replacements/:id/activate,TimetableController.activateTeacherReplacement,timetable:substitute,module.timetable,Jwt trusted school tenant; Prisma tenant context,Source assignment and replacement staff scoped to tenant,Requires scheduled replacement and active source; creates new active assignment,Coordinator permission; no eligibility preflight,TeacherReplacementService.activate; apps/api/src/timetable/timetable.controller.ts:575; teacher-replacement.service.ts:143-213,H09: replacement activation creates authoritative assignment without current professional-eligibility check
GET /api/v1/academics/report-cards/:id.pdf,AcademicsController.getReportCardPdf,academics:read,module.exams,Jwt trusted school tenant; Prisma tenant context,ReportCard and marks looked up under actor tenant,ReportCard saved version/summary; PDF freshly rebuilds subject grades on each request,Read operation; N/A,"ReportCardPdfService.getReportCardPdf; apps/api/src/academics/academics.controller.ts:621; report-card-pdf.service.ts:53-113,170-228",H11: current mutable grading policy can change historical PDF subject grades while saved summary stays old
PATCH /api/v1/settings/:key,SettingsController.updateSetting,Service per-key permission; no method decorator,TenantActiveGuard; no module entitlement,Jwt trusted school tenant; service tenant and Prisma predicates,"Allowed setting key and canWriteSchoolSettingKey(actor.permissions,key)",Upserts current grading_scale/grading_rounding_policy and audits before/after; no immutable policy version,Per-key write permission; no two-person policy activation,SettingsService.updateSetting; apps/api/src/settings/settings.controller.ts:130; settings.service.ts:302-348,H11: grading setting mutation is not versioned against issued report cards
POST /api/v1/payroll/runs,PayrollController.createRun,payroll:run:create,module.payroll,Jwt trusted school tenant; Prisma tenant context,"Tenant staff, effective contract/salary structure, attendance and leave sources",Creates calculated payroll lines subject to run lifecycle/readiness checks,"Create/review/approve/post permissions separate, actor SoD incomplete","PayrollService.createPayrollRun / calculatePeriodPayrollLines / calculatePayrollLine; apps/api/src/payroll/payroll.controller.ts:233; payroll.service.ts:1083-1258,3059-3105",H10: enabled PF/TDS use fixed 10%/1% with no approved effective-dated statutory policy evidence
